Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
38.6,42,5.0,34.1,clear,1012.15,0,Spring,1.1,mountain,Sunny
32.1,90,16.7,81.9,partly cloudy,1011.67,1,Spring,2.5,mountain,Rainy
26.6,70,2.8,60.3,clear,1020.48,3,Autumn,8.2,coastal,Sunny
28.4,79,1.4,33.7,partly cloudy,1023.35,3,Summer,1.9,inland,Cloudy
22.6,76,8.0,90.6,partly cloudy,1007.62,4,Spring,3.8,coastal,Cloudy
17.4,75,1.2,77.3,clear,1002.09,10,Spring,8.7,inland,Rainy
20.7,63,19.2,26.5,overcast,1000.37,1,Spring,2.0,mountain,Sunny
32.7,70,16.6,64.5,clear,997.78,3,Summer,1.3,inland,Sunny
10.4,45,16.1,59.6,clear,992.31,0,Summer,5.1,coastal,Sunny
13.5,41,12.8,40.1,partly cloudy,1003.7,1,Autumn,3.4,coastal,Cloudy
11.4,59,4.7,36.7,partly cloudy,1000.81,0,Summer,5.9,coastal,Sunny
11.2,67,10.6,34.4,partly cloudy,1028.66,9,Summer,8.1,inland,Rainy
35.7,50,12.1,61.7,partly cloudy,1012.31,9,Winter,1.8,coastal,Cloudy
31.1,43,10.7,44.2,overcast,1003.89,3,Autumn,6.0,coastal,Cloudy
24.2,54,5.6,83.2,overcast,1013.22,3,Spring,5.3,coastal,Sunny
12.9,45,10.5,67.0,overcast,995.57,6,Summer,1.9,mountain,Rainy
24.7,93,10.1,7.0,partly cloudy,1007.76,9,Spring,6.4,mountain,Cloudy
24.2,88,19.9,64.0,partly cloudy,1015.05,10,Spring,3.1,inland,Cloudy
15.2,69,18.0,27.1,partly cloudy,1009.56,10,Winter,5.1,inland,Sunny
23.0,95,9.5,59.3,overcast,1006.07,8,Summer,1.3,coastal,Sunny
22.0,77,12.6,68.0,partly cloudy,1029.75,8,Autumn,4.9,mountain,Rainy
28.5,90,15.1,23.1,clear,1025.21,4,Summer,3.4,coastal,Sunny
29.1,96,1.2,45.7,clear,1014.94,9,Spring,8.3,coastal,Rainy
11.4,41,18.0,19.0,partly cloudy,1012.78,0,Autumn,1.0,mountain,Cloudy
21.2,54,17.3,5.2,clear,1014.83,0,Summer,4.5,mountain,Rainy
28.8,50,9.4,37.8,clear,998.05,5,Spring,4.9,mountain,Rainy
25.1,47,8.1,36.3,overcast,1005.81,1,Spring,7.4,inland,Rainy
35.7,65,5.8,99.5,partly cloudy,991.58,7,Winter,6.0,inland,Cloudy
29.8,90,9.8,44.6,partly cloudy,1009.02,8,Winter,6.8,coastal,Sunny
14.9,84,1.4,33.4,overcast,1011.72,3,Winter,7.9,inland,Cloudy
12.1,83,17.1,58.0,clear,999.11,4,Spring,8.7,mountain,Sunny
29.3,44,1.2,8.9,clear,1028.56,10,Summer,3.5,mountain,Rainy
10.8,45,6.9,96.2,partly cloudy,1026.38,7,Winter,5.6,inland,Rainy
27.6,65,18.7,63.5,clear,1018.89,2,Summer,8.5,coastal,Rainy
38.2,93,14.8,75.5,overcast,1011.34,4,Winter,9.9,coastal,Rainy
27.3,43,6.0,17.0,overcast,1024.8,2,Autumn,9.0,inland,Rainy
21.6,58,5.4,40.9,partly cloudy,995.23,9,Autumn,4.0,coastal,Sunny
29.3,59,0.6,42.3,overcast,1021.62,2,Winter,2.4,coastal,Sunny
23.7,72,14.1,82.2,overcast,994.99,2,Spring,5.1,coastal,Rainy
26.4,59,1.5,0.1,partly cloudy,1021.77,6,Winter,7.5,mountain,Cloudy
38.2,88,10.9,30.1,overcast,1001.03,6,Winter,5.2,mountain,Cloudy
21.6,51,19.3,98.1,overcast,1025.08,6,Spring,5.1,inland,Rainy
38.8,86,2.6,47.5,overcast,1027.76,9,Autumn,8.5,mountain,Sunny
37.2,40,17.9,38.3,clear,995.95,7,Summer,3.9,coastal,Cloudy
15.9,65,19.8,12.0,partly cloudy,1008.51,4,Winter,8.7,mountain,Cloudy
12.1,53,1.7,97.4,partly cloudy,1029.24,4,Spring,4.4,inland,Cloudy
13.0,77,17.7,2.0,partly cloudy,1009.34,3,Winter,3.6,mountain,Rainy
10.5,76,10.6,73.7,clear,1024.54,6,Spring,4.8,coastal,Cloudy
12.8,50,18.2,76.9,clear,1013.55,9,Summer,7.7,coastal,Cloudy
30.5,75,11.6,24.4,partly cloudy,1005.01,3,Summer,1.7,inland,Cloudy
12.1,52,13.4,67.2,clear,1001.43,1,Autumn,2.4,mountain,Cloudy
19.6,82,11.1,9.3,partly cloudy,998.13,3,Spring,9.5,mountain,Sunny
35.3,42,17.4,25.7,clear,1020.47,7,Spring,2.2,mountain,Rainy
10.7,72,14.8,78.8,overcast,1005.46,8,Autumn,5.9,coastal,Rainy
34.4,45,10.7,86.5,overcast,1010.45,2,Autumn,6.0,inland,Sunny
18.5,89,17.4,60.8,partly cloudy,1009.69,6,Spring,5.2,mountain,Sunny
13.5,95,5.3,50.7,clear,1013.09,8,Autumn,6.6,coastal,Rainy
30.9,49,3.6,15.9,clear,1024.62,10,Summer,2.7,coastal,Cloudy
28.9,44,3.6,6.3,overcast,1029.23,3,Winter,5.8,coastal,Cloudy
36.3,62,7.0,11.8,overcast,1006.3,9,Summer,4.0,mountain,Rainy
32.1,49,5.2,22.7,clear,1023.1,2,Autumn,6.8,mountain,Cloudy
34.1,83,18.6,34.2,clear,1020.58,4,Spring,1.8,mountain,Sunny
18.5,41,2.6,38.1,clear,1012.94,0,Spring,5.9,mountain,Cloudy
15.3,52,14.1,34.6,clear,1028.24,2,Summer,2.3,mountain,Cloudy
32.5,79,4.2,23.9,clear,998.02,7,Spring,3.1,mountain,Cloudy
34.2,41,17.7,51.0,clear,994.37,10,Autumn,2.6,mountain,Rainy
39.7,59,19.2,82.5,partly cloudy,1024.16,7,Summer,2.2,mountain,Sunny
22.4,40,9.6,28.0,clear,1007.57,3,Spring,8.3,mountain,Cloudy
21.2,76,17.6,94.2,overcast,1023.88,1,Winter,3.2,coastal,Rainy
33.3,48,0.6,87.3,partly cloudy,1025.72,7,Winter,9.3,mountain,Cloudy
20.2,56,16.5,16.2,clear,992.5,7,Autumn,9.7,inland,Sunny
37.9,48,5.0,78.6,overcast,1025.34,9,Spring,5.9,coastal,Cloudy
35.8,50,18.2,57.5,partly cloudy,1007.93,3,Autumn,1.9,mountain,Sunny
22.9,54,0.5,56.7,overcast,1010.42,2,Summer,4.1,inland,Cloudy
32.5,63,11.3,39.1,clear,1015.06,1,Winter,8.1,mountain,Sunny
32.6,77,15.3,50.1,clear,1027.06,8,Summer,4.0,inland,Cloudy
13.1,94,5.5,39.7,clear,990.76,0,Spring,1.3,inland,Sunny
37.1,74,4.3,54.0,clear,1009.07,6,Autumn,5.8,inland,Cloudy
25.2,69,2.1,62.8,partly cloudy,1017.51,4,Autumn,8.5,inland,Cloudy
34.8,70,6.9,67.4,partly cloudy,1018.91,7,Autumn,8.1,coastal,Rainy
19.6,88,11.4,53.2,overcast,1017.7,3,Summer,2.2,coastal,Rainy
36.9,44,2.8,72.1,clear,995.38,6,Winter,6.9,inland,Sunny
21.7,99,7.8,14.1,overcast,1001.98,4,Summer,2.6,mountain,Cloudy
10.3,83,0.7,21.2,partly cloudy,1004.35,4,Summer,2.6,inland,Sunny
37.2,89,16.5,81.9,clear,1022.18,8,Spring,8.8,coastal,Rainy
12.7,53,3.0,32.3,clear,1001.15,8,Spring,2.9,mountain,Sunny
19.6,92,6.0,2.3,partly cloudy,998.43,8,Spring,3.0,coastal,Sunny
38.5,95,0.9,15.4,partly cloudy,1028.3,5,Winter,0.5,coastal,Rainy
38.5,50,8.9,22.4,partly cloudy,990.35,5,Winter,8.8,mountain,Cloudy
27.2,48,16.9,95.7,partly cloudy,1029.91,4,Spring,8.0,inland,Sunny
29.0,73,8.1,57.3,partly cloudy,1017.07,8,Spring,6.5,inland,Rainy
23.5,51,4.0,93.3,clear,1023.14,9,Winter,7.6,inland,Cloudy
18.8,74,15.2,57.5,partly cloudy,1001.78,7,Autumn,1.9,inland,Rainy
19.9,74,15.9,47.9,clear,990.57,6,Winter,4.9,mountain,Sunny
30.2,40,3.9,31.4,clear,1019.51,6,Winter,3.8,mountain,Cloudy
32.6,79,15.5,60.6,partly cloudy,1023.37,5,Winter,1.4,mountain,Cloudy
33.7,61,19.0,13.9,partly cloudy,1019.62,4,Spring,5.1,coastal,Rainy
33.7,99,3.7,89.8,clear,995.71,3,Autumn,9.2,mountain,Rainy
12.7,68,15.5,82.9,partly cloudy,1020.14,2,Winter,0.9,inland,Rainy
24.8,47,14.3,31.8,partly cloudy,1020.76,2,Spring,3.3,coastal,Cloudy
11.7,50,9.7,95.3,partly cloudy,1016.34,5,Summer,2.5,inland,Cloudy
26.5,80,1.6,82.5,overcast,1020.64,3,Summer,2.8,inland,Sunny
23.2,76,2.0,66.6,clear,1023.84,5,Winter,9.1,mountain,Cloudy
36.6,53,17.1,12.2,overcast,1014.54,2,Summer,4.9,mountain,Sunny
20.5,99,19.8,47.8,partly cloudy,993.54,3,Autumn,4.9,inland,Rainy
13.5,69,13.7,50.6,overcast,1009.51,8,Summer,7.7,inland,Rainy
14.3,74,9.2,23.3,partly cloudy,993.11,4,Summer,2.0,coastal,Cloudy
32.8,60,13.1,8.0,overcast,1006.3,6,Autumn,5.1,mountain,Rainy
28.5,76,12.1,77.7,partly cloudy,1006.28,9,Winter,4.6,coastal,Rainy
13.0,44,8.0,12.2,overcast,992.64,1,Winter,6.2,coastal,Cloudy
12.5,58,1.8,59.4,overcast,1003.95,4,Autumn,10.0,coastal,Sunny
31.0,98,16.5,93.6,overcast,994.44,8,Autumn,7.8,inland,Cloudy
12.2,53,7.8,87.6,clear,1022.33,10,Autumn,4.3,coastal,Sunny
34.7,65,16.5,27.8,overcast,1027.91,2,Summer,8.4,coastal,Cloudy
31.2,43,5.4,85.1,clear,992.89,8,Autumn,2.1,inland,Cloudy
12.4,64,0.5,0.0,partly cloudy,1028.2,10,Spring,0.8,mountain,Rainy
12.5,84,3.6,1.8,overcast,1010.9,5,Summer,2.4,mountain,Cloudy
39.6,81,9.6,60.3,partly cloudy,1001.98,3,Winter,3.7,coastal,Cloudy
21.2,64,18.9,36.5,partly cloudy,993.07,6,Winter,5.4,inland,Sunny
21.1,57,2.5,38.6,overcast,1010.02,7,Winter,6.3,mountain,Rainy
34.4,79,17.2,56.4,clear,1021.78,5,Summer,9.2,coastal,Sunny
38.4,47,10.8,19.2,overcast,1018.28,4,Spring,5.3,coastal,Sunny
39.6,78,16.6,21.2,partly cloudy,992.01,5,Autumn,5.3,inland,Rainy
32.6,79,6.3,48.5,partly cloudy,992.92,4,Autumn,1.0,coastal,Rainy
21.3,53,16.9,75.4,overcast,1006.11,7,Winter,0.8,mountain,Rainy
12.5,71,15.6,61.9,clear,1001.81,0,Winter,5.7,inland,Cloudy
33.3,90,5.0,29.7,clear,999.3,10,Summer,4.7,mountain,Rainy
26.8,77,3.1,43.0,partly cloudy,1001.24,6,Spring,8.5,mountain,Rainy
22.7,72,17.4,17.1,partly cloudy,1022.14,9,Autumn,2.0,mountain,Rainy
37.2,62,19.3,7.5,clear,1027.17,9,Summer,0.7,coastal,Sunny
13.3,54,1.1,78.3,overcast,1006.2,10,Autumn,4.8,coastal,Sunny
24.8,72,14.8,26.5,partly cloudy,1026.24,1,Winter,2.8,mountain,Cloudy
10.3,64,18.2,17.8,clear,1002.86,8,Autumn,1.0,mountain,Sunny
24.1,56,17.2,69.2,partly cloudy,1009.06,0,Spring,7.4,inland,Cloudy
11.7,72,19.3,61.8,overcast,999.04,10,Spring,1.6,inland,Sunny
13.6,86,15.3,63.3,clear,1015.62,9,Winter,6.3,coastal,Rainy
13.5,94,9.1,22.9,partly cloudy,1029.16,5,Spring,3.2,coastal,Sunny
29.5,41,6.6,23.3,overcast,1014.14,8,Spring,2.1,inland,Cloudy
32.4,53,6.8,22.1,partly cloudy,1004.31,0,Summer,4.1,mountain,Sunny
27.5,92,14.6,17.4,overcast,1015.91,3,Autumn,8.1,coastal,Rainy
38.9,79,15.0,65.6,overcast,994.92,3,Winter,4.2,mountain,Cloudy
21.2,79,4.4,84.8,clear,1025.55,8,Winter,7.6,inland,Rainy
18.6,90,17.4,72.4,overcast,1010.12,10,Winter,1.7,coastal,Rainy
36.1,78,14.4,79.2,partly cloudy,1007.97,4,Winter,7.8,coastal,Cloudy
16.7,90,11.5,40.5,overcast,1013.43,4,Winter,2.8,inland,Rainy
38.9,45,9.7,65.4,overcast,1014.99,5,Spring,6.9,coastal,Rainy
10.4,45,11.1,35.4,clear,992.87,0,Summer,5.9,inland,Sunny
39.1,42,3.6,52.6,overcast,1017.3,0,Winter,9.3,coastal,Rainy
11.3,46,4.5,48.2,overcast,999.68,8,Summer,4.2,inland,Rainy
36.7,90,2.3,17.7,partly cloudy,1018.56,2,Summer,1.1,coastal,Rainy
25.8,47,3.5,38.7,clear,1022.9,3,Spring,0.7,mountain,Rainy
39.8,81,9.3,96.4,clear,1022.16,0,Winter,8.4,mountain,Cloudy
12.2,91,10.8,24.9,clear,1012.1,8,Spring,5.5,mountain,Sunny
26.6,54,0.8,13.4,overcast,1010.81,7,Winter,7.9,coastal,Rainy
39.1,86,16.0,41.9,clear,995.72,1,Spring,2.7,coastal,Rainy
25.7,68,6.2,79.0,overcast,1021.01,7,Summer,3.8,mountain,Cloudy
28.9,72,18.3,58.2,overcast,1000.86,6,Winter,0.8,mountain,Rainy
30.9,91,19.4,68.1,partly cloudy,1009.87,10,Autumn,9.6,inland,Cloudy
23.6,69,4.1,19.0,partly cloudy,1001.37,5,Summer,6.8,inland,Sunny
28.8,78,9.5,61.9,partly cloudy,995.35,0,Autumn,9.4,inland,Sunny
27.5,66,0.5,32.4,partly cloudy,1015.18,6,Summer,3.0,mountain,Rainy
37.0,75,12.2,83.4,partly cloudy,992.17,9,Spring,6.3,mountain,Rainy
11.4,68,12.3,62.9,overcast,1019.95,6,Winter,6.9,mountain,Rainy
18.4,77,5.3,19.9,overcast,1002.7,8,Summer,3.5,inland,Cloudy
38.5,96,11.4,6.5,clear,990.01,0,Spring,8.6,coastal,Rainy
36.7,72,4.9,4.3,overcast,1010.45,1,Winter,9.5,mountain,Rainy
23.7,76,3.6,37.1,overcast,991.87,10,Winter,8.9,coastal,Sunny
28.6,66,13.2,26.6,partly cloudy,1001.05,8,Summer,7.5,coastal,Rainy
18.3,94,6.9,64.6,overcast,1018.28,8,Winter,3.1,coastal,Sunny
15.6,72,12.0,49.9,partly cloudy,992.51,5,Summer,3.2,inland,Rainy
23.9,43,8.9,26.6,clear,1023.57,5,Winter,9.7,coastal,Sunny
20.6,61,19.7,14.9,clear,990.15,3,Autumn,0.6,mountain,Rainy
27.5,41,3.4,12.7,overcast,999.87,3,Spring,7.3,inland,Sunny
12.3,49,9.6,86.5,clear,1019.64,4,Autumn,7.2,mountain,Cloudy
39.2,44,13.8,24.3,overcast,1002.65,2,Summer,6.4,mountain,Sunny
39.6,98,8.2,65.2,clear,994.08,0,Autumn,9.9,inland,Sunny
